name,mass_kg,mean_radius_km,position_x_km,position_y_km,position_z_km,velocity_x_km,velocity_y_km,velocity_z_km
Starship,1.31000e+06,5.000000e-02,137086019.7291591,-63903723.71203433,4671.541522351454,4.5580907204035706,26.878644157361148,0.00034315879934206843
Sun,1.98841e+30,6.965000e+05,134142.6619819603,-29758.566282244596,5016.766842702601,-0.004214009773974702,0.007666044536907502,5.638255696188602e-05
Mercury,3.30200e+23,2.439400e+03,18523031.47282515,-64863310.47007961,-6951757.288220341,37.0756185235061,15.707798332304046,-2.148771183045009
Venus,4.86850e+24,6.051840e+03,-25179930.437655497,-105657058.18644984,53348.59500273449,33.81745093147658,-8.30035385761242,-2.0658646743547986
Earth,5.97219e+24,6.371000e+03,137086019.7291591,-63910723.71203433,4671.541522351454,12.107090720403571,26.878644157361148,0.00034315879934206843
Moon,7.34900e+22,1.737530e+03,137466446.4857353,-63778176.020321704,38836.982659455585,11.80297441472525,27.801264077329353,-0.0230337996592053
Mars,6.41710e+23,3.389920e+03,-31372506.454022016,-218307001.72271875,-3768232.082656014,24.872060850248953,-1.3651877424862588,-0.6420938659468738
Jupiter,1.89819e+27,6.991100e+04,-682309833.4937788,-443002022.1674193,17132735.18412868,6.955548799121802,-10.353917896106829,-0.11134948828853786
Saturn,5.68340e+26,5.823200e+04,902871098.7889999,1027347541.4503214,-53924138.58859915,-7.776310260141587,6.355278495028445,0.19663716611909335
Uranus,8.68130e+25,2.536200e+04,729588199.9877977,2784845728.7274666,797784.6359686059,-6.635384764559626,1.407808217026803,0.09127504850821187
Neptune,1.02409e+26,2.462400e+04,4404039797.98487,736770218.4251565,-116051496.09124243,-0.9325081032253253,5.392813573324681,-0.09025536204147647
Ceres,4.13492e+20,3.668169e+02,346343904.2414245,-271359884.9978445,-72124969.9484297,10.21512286623956,12.960225664786101,-1.490476867572902
Pallas,1.44699e+20,2.584933e+02,112607749.68812062,-403466641.84622633,270635589.67933863,14.42652633092964,0.8493325422019004,-1.7629180065937131
Juno,3.25437e+19,1.571988e+02,-313491702.4013664,-377538097.59345186,98032157.90511146,10.573616035536316,-9.147672984907675,1.6650392918533705
Vesta,4.74752e+20,3.841045e+02,181504910.21182707,-275754724.760666,-13646929.889409553,17.78000556101152,10.267031873104033,-2.474324742207044
Astraea,2.82141e+18,6.957438e+01,-51943519.59696297,-407603992.8567063,33058049.64576361,16.498007571669568,-5.205876862504089,-0.571773585004223
